ID,Module,User Story,Role,Priority,Status,LUIGI's Notes,Comment
3.3,Sales & Collections,"As a sales manager, I want to see contracts by territory across 19 markets so that I have a global sales map.",Sales Manager,Extremely High,Built,"I'm not sure there are only 19 territories/markets, but otherwise yes this is absolutely essential. ",
3.4,Sales & Collections,"As a collections analyst, I want to flag overdue collections automatically so that I can prioritize follow-ups.",Collections Analyst,Extremely High,Built,Will that happen via a notification system -- e.g. users gets notified on the platform and via email and/or slack (or a combination of all)?,
3.5,Sales & Collections,"As a sales manager, I want to compare projected vs. actual collections per contract so that I can identify variance early.",Sales Manager,Extremely High,Partial,-,
3.6,Sales & Collections,"As a finance director, I want a waterfall report showing how collections flow from gross to net (commissions, fees, holdbacks) so that I can model true cash receipts.",Finance Director,Extremely High,Not Started,"This makes me think we should also have a deal waterfall, especially for our capital partners -- a way to replace the borrowing base tracking of repayments, allocation of repayments between principal and interest, and interest itself. ",
3.7,Sales & Collections,"As a sales manager, I want to attach contract PDFs and delivery schedules to sales contracts so that I have a complete record.",Sales Manager,Extremely High,Not Started,-,
3.8,Sales & Collections,"As a finance director, I want multi-currency collection tracking with FX conversion to a base currency so that I can report in USD.",Finance Director,Extremely High,Partial,-,
3.9,Sales & Collections,"As a sales manager, I want to generate territory-by-territory sales reports for investor updates so that I can share distribution progress.",Sales Manager,Extremely High,Not Started,"The reports should be by territory, by deal, by genre, by talent, by budget size, by borrower, etc... any possible combination on disttribution reports should be available. This is crucial for our udnerwriting and a data analytics. ",
4.1,Credit Rating,"As a risk analyst, I want AI-generated credit scores (0-100) for distributors and producers so that I can assess counterparty strength.",Risk Analyst,Extremely High,Built,I'd also add that we should have credit score for tax incetives and unsold territories so we can evaluate the risk associate with each collateral piece not just counterparties,
4.2,Credit Rating,"As a risk analyst, I want risk tier classifications (AAA through CCC) so that I can quickly categorize counterparties.",Risk Analyst,Extremely High,Built,-,
4.3,Credit Rating,"As a risk analyst, I want to see payment reliability scores and factor breakdowns so that I understand what drives the rating.",Risk Analyst,Extremely High,Built,-,
4.4,Credit Rating,"As a deal originator, I want to see credit ratings inline when selecting a distributor for a deal so that I make informed decisions.",Deal Originator,Extremely High,Not Started,-,
4.5,Credit Rating,"As a risk analyst, I want to override or annotate AI-generated ratings with manual assessments so that I can incorporate offline knowledge.",Risk Analyst,High,Not Started,-,
4.6,Credit Rating,"As a risk analyst, I want credit rating history over time per contact so that I can spot trends (improving or deteriorating).",Risk Analyst,Extremely High,Partial,-,
4.7,Credit Rating,"As a portfolio manager, I want a portfolio-level counterparty concentration report so that I can identify exposure risks.",Portfolio Manager,Extremely High,Not Started,"I'd also add that we'd like credit rating (by weigthed average) for deals itself, and, therefore, by portfolio too. This could significantly help when re-financing or re-selling our deals to other third-parties to fast-track recoupment. ",
5.1,Accounting,"As a finance analyst, I want to record disbursements, repayments, fees, and interest by deal so that I maintain a transaction ledger.",Finance Analyst,Extremely High,Built,"Also being able to generate loan statements and automatically calculate month-by-month interest accrual. For the latter, the platform should also submit loan statments for review to the indicated users and provide a seperate excel sheet with all interest income and expense figures structured in such a way that they can easily be uploded into our accounting software. ",
5.2,Accounting,"As a finance analyst, I want summary metrics (total disbursed, repaid, fees, interest, net position) so that I have a financial overview.",Finance Analyst,Extremely High,Built,-,
5.3,Accounting,"As a finance analyst, I want to search transactions by deal, type, counterparty, or reference so that I can audit specific entries.",Finance Analyst,Extremely High,Built,-,
5.4,Accounting,"As a finance director, I want to reconcile expected vs. actual cash flows by deal so that I can spot discrepancies.",Finance Director,Extremely High,Not Started,-,
5.5,Accounting,"As a finance director, I want to generate a P&L statement per deal (revenue, costs, net) so that I can assess deal profitability.",Finance Director,Extremely High,Not Started,"I think we should also be able to generate balance sheet for all deals -- we always have two sides our borowers (where we are a lender) and our capital partners (where we are a borrower ourselves). A BS view would allow us to quickly figure out if there are any deals where our liabilities are exceeding our assets and also present the data in the same way where we'd see them on our true accounting BS, which also streamline prep workflows for audits. ",
5.6,Accounting,"As an auditor, I want full audit trail with timestamps, user IDs, and before/after values on all transaction edits so that I can trace changes.",Auditor,Extremely High,Partial,-,
5.7,Accounting,"As a finance analyst, I want to export the transaction ledger to CSV for import into our accounting system so that I avoid double-entry.",Finance Analyst,Extremely High,Not Started,-,
5.8,Accounting,"As a finance director, I want automated interest accrual calculations based on deal terms so that I don't compute manually.",Finance Director,Extremely High,Not Started,-,
6.1,Communications,"As a deal originator, I want to create notes, tasks, and notifications linked to deals so that I track action items.",Deal Originator,Medium-High,Built,-,
6.2,Communications,"As a team member, I want to set due dates on tasks and see overdue items flagged so that nothing falls through the cracks.",Team Member,Medium-High,Built,-,
6.3,Communications,"As a team member, I want to mark tasks as complete with a checkbox so that I track progress.",Team Member,Medium-High,Built,-,
6.4,Communications,"As a manager, I want to assign tasks to specific team members so that responsibilities are clear.",Manager,Medium-High,Not Started,-,
6.5,Communications,"As a team member, I want email or in-app notifications when a task is assigned to me or approaching its deadline so that I stay on top of deadlines.",Team Member,Medium-High,Not Started,-,
6.6,Communications,"As a deal originator, I want to attach files to messages (e.g., markup PDFs, term sheets) so that communications have full context.",Deal Originator,Medium-High,Not Started,-,
6.7,Communications,"As a manager, I want a team task board (kanban or list view) showing all open tasks across deals so that I can manage workload.",Manager,Medium-High,Not Started,-,
7.1,Sales Estimates,"As a sales agent, I want AI-generated territory-by-territory MG projections based on comparable films so that I can set realistic pricing.",Sales Agent,High,Built,"I'd also have the AI-generated sales estimates provide all background comps and calculations used to arrive at each estimate. All in an exportable, aesthetically pleasing PDF. In addition, I'd suggest we add a section of the platform where these estimates can be manually adjusted by changing figures and/or tweaking the data behind it (comps, weights of each data point, etc...). ",
7.2,Sales Estimates,"As a sales agent, I want to search ImdB for comparable films and see their actual box office and budget data so that I have market benchmarks.",Sales Agent,High,Built,"I'd suggest we pull from multiple box office reports, Box Office Mojo (via IMDB) is good but also is THE NUMBERS. ",
7.3,Sales Estimates,"As a deal originator, I want to generate a sales estimate for a new project by providing genre, budget, and cast so that I can evaluate deal viability.",Deal Originator,High,Built,"The data entry for this needs to be fully scoped out, but certainly those data are the basic ones to start with. Although, expect more. ",
7.4,Sales Estimates,"As a sales agent, I want to manually adjust AI-generated estimates per territory so that I can incorporate my market knowledge.",Sales Agent,High,Not Started,-,
7.5,Sales Estimates,"As a sales agent, I want to save and version sales estimates so that I can track how projections evolve.",Sales Agent,High,Partial,-,
7.6,Sales Estimates,"As an investor, I want to see estimate confidence ranges (low/mid/high) per territory so that I understand the risk band.",Investor,High,Partial,I'd also say we want to see the accuracy of this AI forecasts on the basis of previous estimates so we can also understand how the platform is improving dna how much we can rely on it for each territory. ,
7.7,Sales Estimates,"As a sales agent, I want to select specific comp films rather than relying only on AI selection so that I control the benchmarking set.",Sales Agent,High,Not Started,"As mentioned before, this is definitively needed + the ability to modify the other data used and their weights. ",
8.1,Risk Scoring,"As a risk analyst, I want AI-generated risk scores across 6 dimensions (script complexity, budget feasibility, schedule, jurisdiction, crew/talent, completion) so that I have a structured risk view.",Risk Analyst,Medium,Built,-,
8.2,Risk Scoring,"As a risk analyst, I want an overall risk tier (Low, Moderate, Elevated, High) so that I can quickly classify projects.",Risk Analyst,Medium,Built,-,
8.3,Risk Scoring,"As a risk analyst, I want AI-suggested mitigations for each risk factor so that I can build a risk management plan.",Risk Analyst,Medium,Built,"I'd like to see if we can go even further and, on top of mitigators, also provide details on how much it costs to activiate each mitigators, including whether we are saving or not, and how we can monetize this risk ourselves. ",
8.4,Risk Scoring,"As a risk analyst, I want to attach a risk assessment to a deal so that underwriting files include the analysis.",Risk Analyst,Medium,Partial,-,
8.5,Risk Scoring,"As a risk analyst, I want to weight risk dimensions differently based on deal type (e.g., VFX-heavy vs. indie drama) so that scoring reflects actual risk profile.",Risk Analyst,Medium,Not Started,-,
8.6,Risk Scoring,"As a portfolio manager, I want an aggregate risk heatmap across the portfolio so that I can see concentration of high-risk deals.",Portfolio Manager,Medium,Not Started,Explain more what this would look like? Sounds valuable but I'm curious to understand what type of heat-map we are talking about. ,
8.7,Risk Scoring,"As a risk analyst, I want to compare risk scores across deals side-by-side so that I can benchmark relative risk.",Risk Analyst,Medium,Not Started,"Also this would be helpful for approving deals -- e.g. if we submit x3 deals for approval, this should be flagged or easily identifiable as, assuming they all have the same return, the risk profile of counterparties and execution will be the immediate next aspects to evaluate for final approval. ",
9.1,Smart Budget,"As a producer, I want AI-generated budgets in 3 scenarios (low/mid/high) with line-item breakdowns so that I can evaluate budget ranges.",Producer,Medium,Built,-,
9.2,Smart Budget,"As a producer, I want budget categories (ATL, BTL-Production, BTL-Post, Insurance, Financing, Contingency) so that I get an industry-standard breakdown.",Producer,Medium,Built,Those macro-categories might need expanding. Also the formatting of the budget must be industry-standard. ,
9.3,Smart Budget,"As a producer, I want to adjust individual line items after generation so that I can refine the AI estimate.",Producer,Medium,Not Started,-,
9.4,Smart Budget,"As a finance director, I want to compare generated budgets to actual costs as production progresses so that I can track cost overruns.",Finance Director,Medium,Not Started,"On this front, what would be PHENOMENAL is to create a third-party user side of the platform where production accountants or our supervisors can long in cost reports and trial balances so we can track and compare costs from live production in real-time. ",
9.5,Smart Budget,"As a producer, I want to import an existing budget (CSV or Movie Magic format) so that I can use the platform for tracking, not just generation.",Producer,Medium,Not Started,-,
9.6,Smart Budget,"As a producer, I want to export budgets to PDF or Excel so that I can share with financiers.",Producer,Medium,Not Started,"PDF is fine. Rarely see budgets in excel, unless it's a very short summary (e.g. ATL, BTL, TOTAL). ",
10.1,Scheduling,"As a line producer, I want AI-generated day-by-day shooting schedules with location clustering so that I minimize company moves.",Line Producer,Medium,Built,-,
10.2,Scheduling,"As a line producer, I want schedules to include call time, wrap time, scenes, and location per day so that I have a complete stripboard.",Line Producer,Medium,Built,-,
10.3,Scheduling,"As a line producer, I want to manually reorder or adjust schedule days after generation so that I can handle real-world constraints.",Line Producer,Medium,Not Started,-,
10.4,Scheduling,"As an AD, I want to flag weather-dependent or night-shoot days so that I can plan contingencies.",Assistant Director,Medium,Not Started,-,
10.5,Scheduling,"As a line producer, I want to link schedule to budget so that daily burn rate is visible so that I can track cost per shoot day.",Line Producer,Medium,Not Started,-,
10.6,Scheduling,"As a line producer, I want to export schedules to PDF or industry formats (Gorilla, StudioBinder) so that I can share with crew.",Line Producer,Medium,Not Started,-,
11.1,Soft Funding,"As a producer, I want to search a global database of film tax incentive programs by country and type so that I can identify funding opportunities.",Producer / VP of Investments,High,Built,-,
11.2,Soft Funding,"As a producer, I want a rebate calculator (spend x rebate %) so that I can estimate the tax benefit.",Producer / VP of Investments,High,Built,-,
11.3,Soft Funding,"As a finance director, I want to link incentive programs to deals so that I can track applied vs. approved amounts.",Finance Director,High,Partial,"TBC - I'm not sure this is exactly how it works, but let's discuss. If possible it'll be great. ",
11.4,Soft Funding,"As a producer, I want alerts when incentive programs change (new programs, sunset dates, rule changes) so that I don't miss opportunities.",Producer / VP of Investments,High,Not Started,-,
11.5,Soft Funding,"As a finance director, I want to stack multiple incentive programs per deal (e.g., federal + state + regional) so that I can maximize soft funding.",Finance Director,High,Not Started,"If I understand this correctly, we would want the platform to tell us how to best breakdown budgest spending by location and spending category to maximize the tax incentive amounts. ",
11.6,Soft Funding,"As a producer, I want to see eligibility requirements (minimum spend, cultural tests, residency) per program so that I can assess qualification.",Producer / VP of Investments,High,Partial,-,
11.7,Soft Funding,"As a finance director, I want to model the impact of incentive timing on cash flow (processing days, payment schedule) so that I can plan liquidity.",Finance Director,High,Not Started,-,
12.1,Data Room,"As a deal originator, I want an auto-generated 20-item closing checklist per deal (Legal, Insurance, Financial, Distribution, Tax, Compliance) so that I have a structured closing process.",Deal Originator,High,Built,I think the flow/user experience should be one where the platform provides some basic questions in regards to the deal that's been closed so that it can generate the correct checklist -- some requirements are true for all deals but other depends on deal structure and financing terms.,
12.2,Data Room,"As a deal originator, I want to check off items as completed and see a visual progress bar so that I track closing progress.",Deal Originator,High,Built,"I'd also add that for items that require documents to be uploaded, those items cannot be ticked off without the document being uploaded. ",
12.3,Data Room,"As a deal originator, I want to upload and version documents per deal so that I have a complete data room.",Deal Originator,High,Partial,I'd also like to have the platform issue a final closing binder (fully organized in subfolders and numbered naming) containing all docs. Just like lawyers issue closing binders at the end of a deal closing. ,
12.4,Data Room,"As legal counsel, I want to customize the checklist items per deal (add, remove, reorder) so that it reflects the specific transaction structure.",Legal Counsel,High,Not Started,(see my comment above in row 84),
12.5,Data Room,"As a deal originator, I want to assign checklist items to specific team members with deadlines so that closing tasks are delegated.",Deal Originator,High,Not Started,-,
12.6,Data Room,"As an investor, I want read-only data room access with audit trail (who viewed what, when) so that I can review deal documents securely.",SVP of Investments,High,Not Started,This makes me think we should also have a side of the platform that's accessible to our borrowers so they can upload their documents and simplify our workload and workflows - also significantly reduce the email traffic. ,
12.7,Data Room,"As a deal originator, I want automated reminders for incomplete checklist items approaching a deadline so that closing stays on track.",Deal Originator,High,Not Started,-,
12.8,Data Room,"As legal counsel, I want document templates (loan agreement, security agreement, inter-party agreement) so that I can generate first drafts quickly.",Legal Counsel,High,Not Started,I think the flow/user experience should be one that provides some basic questions regarding the deal (based on the legal document being generated) so that the key terms are captured upfront and already included in the templated agreements - rather than dowloading the template and changing the terms manually after. ,
13.1,Audience Intel,"As a marketing exec, I want AI-predicted audience segments (3-5 demographics with age ranges and percentages) so that I can target campaigns.",Marketing Exec,High,Built,Yes to everythig and we should also get a a heatmap of each territory to assess the areas where there's most concentration of targeted demographics.,
13.2,Audience Intel,"As a marketing exec, I want a marketing channel plan with estimated spend per channel so that I can build a P&A budget.",Marketing Exec,High,Built,"Same as above, it'd be nice to have some sort of heatmap or similar visual tool/stats that provides context as to which channel is most used by our targeted demographics. ",
13.3,Audience Intel,"As a marketing exec, I want a release strategy (domestic timing, international rollout, platform strategy) so that I can plan distribution.",Marketing Exec,High,Built,"Yes to everything, and we should also get a breakdown of the strategy rationale and explanation as how this strategy has come about from the AI. ",
13.4,Audience Intel,"As a marketing exec, I want to adjust AI-generated audience segments based on test screening data so that I refine targeting.",Marketing Exec,High,Not Started,-,
13.5,Audience Intel,"As a marketing exec, I want to benchmark P&A spend against comparable films so that I can justify the budget.",Marketing Exec,High,Not Started,"Yes but also this should be cross-reference with effectivness -- no point spending 50m in P&A if another comparable movie did it, but it performed poorly. ",
13.6,Audience Intel,"As a sales agent, I want to include audience analysis in territory sales packages so that distributors see the marketing support plan.",Sales Agent,High,Not Started,"Not sure that this would be needed by distributors (they make their own marketing plan) - it'll be more helpful for our own distribution/releases, especially the big ones. ",
14.1,Talent Intel,"As a casting director, I want to search actors and directors by name with popularity scores and known-for credits so that I can evaluate talent.",Casting Director / SVP of Production / Development / Acquisition,Medium,Built,-,
14.2,Talent Intel,"As a producer, I want AI-recommended cast with heat scores, genre fit, salary tier, and international sales impact so that I can optimize the package.",Producer / SVP of Production / Development / Acquisition,Medium,Built,"I'd also like an audience and demographics analysis - which compares to what the audience intel says. We should cast actors that reinforce the same targeted demographics for the projects, not just the famous ones. ",
14.3,Talent Intel,"As a producer, I want package simulations (2-3 cast combinations with projected domestic/international returns) so that I can model different packages.",Producer / SVP of Production / Development / Acquisition,Medium,Built,-,
14.4,Talent Intel,"As a sales agent, I want to see which actors drive value in specific territories so that I can tailor sales pitches.",Sales Agent,Medium,Partial,-,
14.5,Talent Intel,"As a producer, I want to track actor availability and scheduling conflicts so that I can plan casting around real constraints.",Producer / SVP of Production / Development / Acquisition,Medium,Not Started,Would be amazing but - where we are getting this data from? ,
14.6,Talent Intel,"As a producer, I want to link talent recommendations to deals so that cast-finance analysis is connected.",Producer / SVP of Production / Development / Acquisition,Medium,Not Started,-,
14.7,Talent Intel,"As a sales agent, I want to compare talent value by territory (e.g., Actor A strong in Asia vs. Actor B strong in Europe) so that I can optimize the global package.",Sales Agent,Medium,Not Started,-,
15.1,Platform & UX,"As a user, I want to register and log in with email and password so that my data is secure and isolated.",User,Extremely High,Built,-,
15.2,Platform & UX,"As a user, I want a 3-pane layout (navigation, content, inspector) so that I can work efficiently without page reloads.",User,Extremely High,Built,-,
15.3,Platform & UX,"As a user, I want to chat with an AI assistant that can access all platform tools so that I can work conversationally.",User,Extremely High,Built,-,
15.4,Platform & UX,"As a user, I want structured chat commands (deal:list, portfolio, help) for quick access so that I can work faster than clicking through menus.",User,Extremely High,Built,-,
15.5,Platform & UX,"As a user, I want chat history preserved across sessions so that I can resume previous conversations.",User,Extremely High,Built,"ALL chat history should be preserved since the inception of time till the end of time. The only case when we don't is if users asks questions under private mode -- which, I wouldn't mind implementing - although it's to be discussed with Joe and Simon. ",
15.6,Platform & UX,"As an admin, I want role-based access control (admin, analyst, viewer) so that I can restrict sensitive data.",Admin,Extremely High,Not Started,-,
15.7,Platform & UX,"As a user, I want SSO login (Google, Microsoft) so that I don't manage another password.",User,Extremely High,Not Started,-,
15.8,Platform & UX,"As a user, I want the platform to work on mobile/tablet so that I can check deals on the go.",User,Extremely High,Partial,-,
15.9,Platform & UX,"As an admin, I want an audit log of all user actions (logins, edits, views) so that I have a compliance trail.",Admin,Extremely High,Partial,-,
15.1,Platform & UX,"As a user, I want to customize my dashboard with widgets (deal pipeline, overdue tasks, portfolio snapshot) so that I see what matters most.",User,Extremely High,Not Started,-,
15.11,Platform & UX,"As a user, I want dark mode so that I can work comfortably in low-light environments.",User,Extremely High,Not Started,-,
15.12,Platform & UX,"As a team lead, I want multi-user collaboration on the same deal (shared notes, live status) so that the team stays aligned.",Team Lead,Extremely High,Not Started,-,
16.1,Reporting,"As a portfolio manager, I want a portfolio dashboard with charts (deal volume over time, status distribution, capital deployed) so that I can present to stakeholders.",Portfolio Manager,Extremely High,Not Started,-,
16.2,Reporting,"As a finance director, I want to generate quarterly investor reports (deal summaries, collections, P&L) so that I meet reporting obligations.",Finance Director,Extremely High,Not Started,"Reporting should be as granular as it can be monthly, weekly, even daily, so that data can then be aggregated however best suited for investors and internal stakeholders",
16.3,Reporting,"As an analyst, I want to build custom reports by selecting fields, filters, and groupings so that I can answer ad hoc questions.",Analyst,Extremely High,Not Started,-,
16.4,Reporting,"As a portfolio manager, I want scheduled report delivery (email PDF weekly/monthly) so that stakeholders get updates without logging in.",Portfolio Manager,Extremely High,Not Started,-,
16.5,Reporting,"As an analyst, I want data export to CSV/Excel across all modules so that I can do deeper analysis externally.",Analyst,Extremely High,Not Started,-,
