ID,Module,User Story,Role,Priority,Status,Your Notes
5.7,Accounting,"As a finance analyst, I want to export the transaction ledger to CSV for import into our accounting system so that I avoid double-entry.",Finance Analyst,,Not Started,
5.8,Accounting,"As a finance director, I want automated interest accrual calculations based on deal terms so that I don't compute manually.",Finance Director,,Not Started,
6.1,Communications,"As a deal originator, I want to create notes, tasks, and notifications linked to deals so that I track action items.",Deal Originator,,Built,
6.2,Communications,"As a team member, I want to set due dates on tasks and see overdue items flagged so that nothing falls through the cracks.",Team Member,,Built,
6.3,Communications,"As a team member, I want to mark tasks as complete with a checkbox so that I track progress.",Team Member,,Built,
6.4,Communications,"As a manager, I want to assign tasks to specific team members so that responsibilities are clear.",Manager,,Not Started,
6.5,Communications,"As a team member, I want email or in-app notifications when a task is assigned to me or approaching its deadline so that I stay on top of deadlines.",Team Member,,Not Started,
6.6,Communications,"As a deal originator, I want to attach files to messages (e.g., markup PDFs, term sheets) so that communications have full context.",Deal Originator,,Not Started,
6.7,Communications,"As a manager, I want a team task board (kanban or list view) showing all open tasks across deals so that I can manage workload.",Manager,,Not Started,
7.1,Sales Estimates,"As a sales agent, I want AI-generated territory-by-territory MG projections based on comparable films so that I can set realistic pricing.",Sales Agent,,Built,
7.2,Sales Estimates,"As a sales agent, I want to search TMDB/OMDB for comparable films and see their actual box office and budget data so that I have market benchmarks.",Sales Agent,,Built,
7.3,Sales Estimates,"As a deal originator, I want to generate a sales estimate for a new project by providing genre, budget, and cast so that I can evaluate deal viability.",Deal Originator,,Built,
7.4,Sales Estimates,"As a sales agent, I want to manually adjust AI-generated estimates per territory so that I can incorporate my market knowledge.",Sales Agent,,Not Started,
7.5,Sales Estimates,"As a sales agent, I want to save and version sales estimates so that I can track how projections evolve.",Sales Agent,,Partial,
7.6,Sales Estimates,"As an investor, I want to see estimate confidence ranges (low/mid/high) per territory so that I understand the risk band.",Investor,,Partial,
7.7,Sales Estimates,"As a sales agent, I want to select specific comp films rather than relying only on AI selection so that I control the benchmarking set.",Sales Agent,,Not Started,
8.1,Risk Scoring,"As a risk analyst, I want AI-generated risk scores across 6 dimensions (script complexity, budget feasibility, schedule, jurisdiction, crew/talent, completion) so that I have a structured risk view.",Risk Analyst,,Built,
8.2,Risk Scoring,"As a risk analyst, I want an overall risk tier (Low, Moderate, Elevated, High) so that I can quickly classify projects.",Risk Analyst,,Built,
8.3,Risk Scoring,"As a risk analyst, I want AI-suggested mitigations for each risk factor so that I can build a risk management plan.",Risk Analyst,,Built,
8.4,Risk Scoring,"As a risk analyst, I want to attach a risk assessment to a deal so that underwriting files include the analysis.",Risk Analyst,,Partial,
8.5,Risk Scoring,"As a risk analyst, I want to weight risk dimensions differently based on deal type (e.g., VFX-heavy vs. indie drama) so that scoring reflects actual risk profile.",Risk Analyst,,Not Started,
8.6,Risk Scoring,"As a portfolio manager, I want an aggregate risk heatmap across the portfolio so that I can see concentration of high-risk deals.",Portfolio Manager,,Not Started,
8.7,Risk Scoring,"As a risk analyst, I want to compare risk scores across deals side-by-side so that I can benchmark relative risk.",Risk Analyst,,Not Started,
9.1,Smart Budget,"As a producer, I want AI-generated budgets in 3 scenarios (low/mid/high) with line-item breakdowns so that I can evaluate budget ranges.",Producer,,Built,
9.2,Smart Budget,"As a producer, I want budget categories (ATL, BTL-Production, BTL-Post, Insurance, Financing, Contingency) so that I get an industry-standard breakdown.",Producer,,Built,
9.3,Smart Budget,"As a producer, I want to adjust individual line items after generation so that I can refine the AI estimate.",Producer,,Not Started,
9.4,Smart Budget,"As a finance director, I want to compare generated budgets to actual costs as production progresses so that I can track cost overruns.",Finance Director,,Not Started,
9.5,Smart Budget,"As a producer, I want to import an existing budget (CSV or Movie Magic format) so that I can use the platform for tracking, not just generation.",Producer,,Not Started,
9.6,Smart Budget,"As a producer, I want to export budgets to PDF or Excel so that I can share with financiers.",Producer,,Not Started,
10.1,Scheduling,"As a line producer, I want AI-generated day-by-day shooting schedules with location clustering so that I minimize company moves.",Line Producer,,Built,
10.2,Scheduling,"As a line producer, I want schedules to include call time, wrap time, scenes, and location per day so that I have a complete stripboard.",Line Producer,,Built,
10.3,Scheduling,"As a line producer, I want to manually reorder or adjust schedule days after generation so that I can handle real-world constraints.",Line Producer,,Not Started,
10.4,Scheduling,"As an AD, I want to flag weather-dependent or night-shoot days so that I can plan contingencies.",Assistant Director,,Not Started,
10.5,Scheduling,"As a line producer, I want to link schedule to budget so that daily burn rate is visible so that I can track cost per shoot day.",Line Producer,,Not Started,
10.6,Scheduling,"As a line producer, I want to export schedules to PDF or industry formats (Gorilla, StudioBinder) so that I can share with crew.",Line Producer,,Not Started,
11.1,Soft Funding,"As a producer, I want to search a global database of film tax incentive programs by country and type so that I can identify funding opportunities.",Producer,,Built,
11.2,Soft Funding,"As a producer, I want a rebate calculator (spend x rebate %) so that I can estimate the tax benefit.",Producer,,Built,
11.3,Soft Funding,"As a finance director, I want to link incentive programs to deals so that I can track applied vs. approved amounts.",Finance Director,,Partial,
11.4,Soft Funding,"As a producer, I want alerts when incentive programs change (new programs, sunset dates, rule changes) so that I don't miss opportunities.",Producer,,Not Started,
11.5,Soft Funding,"As a finance director, I want to stack multiple incentive programs per deal (e.g., federal + state + regional) so that I can maximize soft funding.",Finance Director,,Not Started,
11.6,Soft Funding,"As a producer, I want to see eligibility requirements (minimum spend, cultural tests, residency) per program so that I can assess qualification.",Producer,,Partial,
11.7,Soft Funding,"As a finance director, I want to model the impact of incentive timing on cash flow (processing days, payment schedule) so that I can plan liquidity.",Finance Director,,Not Started,
12.1,Data Room,"As a deal originator, I want an auto-generated 20-item closing checklist per deal (Legal, Insurance, Financial, Distribution, Tax, Compliance) so that I have a structured closing process.",Deal Originator,,Built,
12.2,Data Room,"As a deal originator, I want to check off items as completed and see a visual progress bar so that I track closing progress.",Deal Originator,,Built,
12.3,Data Room,"As a deal originator, I want to upload and version documents per deal so that I have a complete data room.",Deal Originator,,Partial,
12.4,Data Room,"As legal counsel, I want to customize the checklist items per deal (add, remove, reorder) so that it reflects the specific transaction structure.",Legal Counsel,,Not Started,
12.5,Data Room,"As a deal originator, I want to assign checklist items to specific team members with deadlines so that closing tasks are delegated.",Deal Originator,,Not Started,
12.6,Data Room,"As an investor, I want read-only data room access with audit trail (who viewed what, when) so that I can review deal documents securely.",Investor,,Not Started,
12.7,Data Room,"As a deal originator, I want automated reminders for incomplete checklist items approaching a deadline so that closing stays on track.",Deal Originator,,Not Started,
12.8,Data Room,"As legal counsel, I want document templates (loan agreement, security agreement, inter-party agreement) so that I can generate first drafts quickly.",Legal Counsel,,Not Started,
13.1,Audience Intel,"As a marketing exec, I want AI-predicted audience segments (3-5 demographics with age ranges and percentages) so that I can target campaigns.",Marketing Exec,,Built,
13.2,Audience Intel,"As a marketing exec, I want a marketing channel plan with estimated spend per channel so that I can build a P&A budget.",Marketing Exec,,Built,
13.3,Audience Intel,"As a marketing exec, I want a release strategy (domestic timing, international rollout, platform strategy) so that I can plan distribution.",Marketing Exec,,Built,
13.4,Audience Intel,"As a marketing exec, I want to adjust AI-generated audience segments based on test screening data so that I refine targeting.",Marketing Exec,,Not Started,
13.5,Audience Intel,"As a marketing exec, I want to benchmark P&A spend against comparable films so that I can justify the budget.",Marketing Exec,,Not Started,
13.6,Audience Intel,"As a sales agent, I want to include audience analysis in territory sales packages so that distributors see the marketing support plan.",Sales Agent,,Not Started,
14.1,Talent Intel,"As a casting director, I want to search actors and directors by name with popularity scores and known-for credits so that I can evaluate talent.",Casting Director,,Built,
14.2,Talent Intel,"As a producer, I want AI-recommended cast with heat scores, genre fit, salary tier, and international sales impact so that I can optimize the package.",Producer,,Built,
14.3,Talent Intel,"As a producer, I want package simulations (2-3 cast combinations with projected domestic/international returns) so that I can model different packages.",Producer,,Built,
14.4,Talent Intel,"As a sales agent, I want to see which actors drive value in specific territories so that I can tailor sales pitches.",Sales Agent,,Partial,
14.5,Talent Intel,"As a producer, I want to track actor availability and scheduling conflicts so that I can plan casting around real constraints.",Producer,,Not Started,
14.6,Talent Intel,"As a producer, I want to link talent recommendations to deals so that cast-finance analysis is connected.",Producer,,Not Started,
14.7,Talent Intel,"As a sales agent, I want to compare talent value by territory (e.g., Actor A strong in Asia vs. Actor B strong in Europe) so that I can optimize the global package.",Sales Agent,,Not Started,
15.1,Platform & UX,"As a user, I want to register and log in with email and password so that my data is secure and isolated.",User,,Built,
15.2,Platform & UX,"As a user, I want a 3-pane layout (navigation, content, inspector) so that I can work efficiently without page reloads.",User,,Built,
15.3,Platform & UX,"As a user, I want to chat with an AI assistant that can access all platform tools so that I can work conversationally.",User,,Built,
15.4,Platform & UX,"As a user, I want structured chat commands (deal:list, portfolio, help) for quick access so that I can work faster than clicking through menus.",User,,Built,
15.5,Platform & UX,"As a user, I want chat history preserved across sessions so that I can resume previous conversations.",User,,Built,
15.6,Platform & UX,"As an admin, I want role-based access control (admin, analyst, viewer) so that I can restrict sensitive data.",Admin,,Not Started,
15.7,Platform & UX,"As a user, I want SSO login (Google, Microsoft) so that I don't manage another password.",User,,Not Started,
15.8,Platform & UX,"As a user, I want the platform to work on mobile/tablet so that I can check deals on the go.",User,,Partial,
15.9,Platform & UX,"As an admin, I want an audit log of all user actions (logins, edits, views) so that I have a compliance trail.",Admin,,Partial,
15.10,Platform & UX,"As a user, I want to customize my dashboard with widgets (deal pipeline, overdue tasks, portfolio snapshot) so that I see what matters most.",User,,Not Started,
15.11,Platform & UX,"As a user, I want dark mode so that I can work comfortably in low-light environments.",User,,Not Started,
15.12,Platform & UX,"As a team lead, I want multi-user collaboration on the same deal (shared notes, live status) so that the team stays aligned.",Team Lead,,Not Started,
16.1,Reporting,"As a portfolio manager, I want a portfolio dashboard with charts (deal volume over time, status distribution, capital deployed) so that I can present to stakeholders.",Portfolio Manager,,Not Started,
16.2,Reporting,"As a finance director, I want to generate quarterly investor reports (deal summaries, collections, P&L) so that I meet reporting obligations.",Finance Director,,Not Started,
16.3,Reporting,"As an analyst, I want to build custom reports by selecting fields, filters, and groupings so that I can answer ad hoc questions.",Analyst,,Not Started,
16.4,Reporting,"As a portfolio manager, I want scheduled report delivery (email PDF weekly/monthly) so that stakeholders get updates without logging in.",Portfolio Manager,,Not Started,
16.5,Reporting,"As an analyst, I want data export to CSV/Excel across all modules so that I can do deeper analysis externally.",Analyst,,Not Started,
